Gene,WT_1,WT_2,WT_3,hnox_1,hnox_2,hnox_3
Pden_0310,12.30757288,12.56468899,12.66866325,13.18705184,12.86373789,12.46846834
Pden_0313,15.17818457,15.27085338,15.2791075,15.2453363,15.49514508,15.45249309
Pden_0316,15.32292001,15.18078997,15.35021619,15.27122539,15.4504263,15.32710697
Pden_0318,18.67736339,18.65795821,18.5641204,18.64722465,18.69487098,18.62312803
Pden_0319,20.60076355,20.62026296,20.4712924,20.82695331,20.68755035,20.86332952
pxpA,22.71364656,22.71447233,22.70210457,22.96949631,22.90153358,22.94695403
Pden_0321,20.7397131,20.83414182,20.87146073,21.05740109,21.02088822,20.95308376
Pden_0322,21.68420851,21.78299686,21.57050291,21.85712856,21.81857337,22.01803145
Pden_0323,21.93715068,21.78711652,21.95786245,21.5401121,21.87959262,21.59265308
Pden_0325,20.37567296,20.39628786,20.35819378,20.60486958,20.47575072,20.66243844
Pden_0326,18.93709346,18.90067864,18.84209663,19.1669735,19.04166164,19.14524909
Pden_0327,15.71938929,16.57090301,16.24441187,15.85256653,15.34472725,16.48609007
Pden_0328,18.7582724,18.85489794,18.75998396,19.03548785,19.1362137,19.06009709
Pden_0330,20.77295488,20.70672304,20.65501659,20.86608949,20.96004589,20.94611835
Pden_0331,18.28506721,18.26357828,18.27461126,18.38922669,18.39723122,18.41546137
Pden_0332,19.59608835,19.67373491,19.642862,19.74777239,19.81463355,19.98911871
trpA,20.74434126,20.80695112,20.72402163,20.83521922,20.84216883,20.79302877
ychF,23.95088218,23.93547727,23.92185389,24.00485626,23.93154457,24.00505648
Pden_0344,17.47398637,17.47870033,17.28540966,17.42867305,17.46023893,17.64149685
Pden_0351,16.85714254,16.88350881,16.99571752,16.9945538,16.98650662,16.99202171
Pden_0368,16.31331049,16.42873966,16.53400806,16.09914756,16.22356003,16.54606297
Pden_0370,13.93095174,14.06156527,14.07135754,14.37425602,14.08181027,14.19466374
Pden_0383,15.97845013,15.37034245,15.76201553,15.86652929,16.01795931,15.7500776
Pden_0384,15.28362351,14.96830481,15.12068158,14.7773371,14.68716473,15.32770537
Pden_0387,12.60181054,12.60331633,11.42075989,12.60591259,12.70244751,12.95912943
Pden_0393,19.82092264,19.81406139,19.71964294,19.96787253,19.999079,20.10953392
dapF,20.46364104,20.56779617,20.69772456,20.65775926,20.62195643,20.6016806
Pden_0396,19.4545406,18.90888629,19.41129493,19.2960722,18.7727077,18.62888519
Pden_0397,15.949981,16.02202208,15.9101983,16.00477282,16.00592869,16.16432965
xseB,18.06323797,18.12100529,18.08641247,17.85162389,17.85222618,18.42350806
Pden_0399,20.82394614,20.82670551,20.69288269,20.77672112,20.79008627,20.89007903
dxs,20.13787962,20.07425901,20.08816797,19.94759259,20.0717355,20.0733441
Pden_0401,20.61145147,20.58682692,20.46518075,20.53970692,20.46340327,20.57462721
Pden_0402,18.80151954,18.86306336,18.91545696,18.96637169,19.07912447,18.99863921
Pden_0403,20.13142623,20.14922315,20.16290139,20.3554633,20.29274033,20.35642312
amn,15.33628344,15.41305141,15.44313198,14.86594537,15.26110003,15.16926887
Pden_0405,25.39380933,25.37284483,25.38658927,25.30993171,25.31621503,25.28921265
Pden_0407,16.81504787,16.67753875,16.60576438,16.83129881,16.72297585,17.05348489
Pden_0409,20.23794743,20.25004529,20.37950284,20.62390908,20.75674492,20.27783404
Pden_0410,17.55058235,17.66376507,17.56054866,17.50163432,17.5064888,17.47159245
Pden_0411,14.40231223,14.58517717,14.53868571,14.75041692,14.72523765,14.79763438
Pden_0414,13.72234744,13.75346197,13.39747847,13.85542559,13.62988001,13.7431445
gyrB,20.93317264,20.98430749,20.99515151,20.6536755,20.78988651,20.43465966
Pden_0417,18.68798929,18.57191914,18.5862833,18.67748772,18.64745545,18.52457297
era,22.55820161,22.62607898,22.62440863,22.55477742,22.56695303,22.55216477
rnc,19.91318098,19.99769679,19.86153027,19.86031717,19.83679113,19.91262413
Pden_0420,20.96066758,21.0220831,21.00069364,20.91181883,20.91688269,21.04745202
pdxJ,20.90009054,20.86595559,20.75048771,20.75105057,20.79874941,20.84924557
ispE,14.61313426,15.03581645,15.01077108,15.05442528,14.67683072,14.6836468
Pden_0424,21.19153817,21.24399381,21.1991311,21.10877526,21.27637233,21.2153018
Pden_0425,22.2229303,22.22306283,22.27256568,22.14612424,22.38371981,22.19537138
greA,22.43184638,22.42130493,22.48002954,22.49738478,22.41718231,22.47627301
Pden_0427,15.6234803,15.61700935,15.72177734,15.63466428,15.55542759,15.72052093
Pden_0431,22.16670988,22.06681735,22.11114856,22.10365137,22.07004844,22.1697348
Pden_0432,19.54524433,19.26517997,19.3761219,19.39308585,19.1663203,19.67959246
Pden_0433,20.11189102,20.16879566,20.05902523,20.06218949,20.13810121,20.06845941
Pden_0434,22.40236954,22.29104922,22.38493234,22.35209638,22.36657573,22.5088484
Pden_0435,19.98784989,20.12428231,20.0558491,20.07894336,20.01917484,20.12169059
Pden_0436,19.64133728,19.61953739,19.69345533,19.90419387,19.88899758,19.83391795
Pden_0437,18.59540201,18.77343301,18.7220536,18.58290265,18.76918561,18.76853879
Pden_0438,17.34250411,17.47622098,17.44659403,17.43792972,17.64387024,17.59420198
Pden_0439,18.51630201,18.42713055,18.48324814,19.09026368,18.75193731,19.43484544
leuB,24.83015963,24.94990537,24.87007184,24.92576345,24.96015569,25.04471978
Pden_0442,14.23845545,14.18047301,14.14945235,14.11548972,14.14614915,14.18465689
Pden_0443,20.8542348,20.8669481,20.94053055,21.02705432,20.93876085,20.96499256
Pden_0444,19.08607435,19.2206019,19.32765353,19.32755077,19.37902512,19.29303085
Pden_0451,11.25244943,10.28181946,10.6275079,11.61381189,11.56956747,10.87569107
Pden_0470,16.57759252,16.7211525,16.62697491,16.44290424,16.74051389,16.31682503
Pden_0477,16.04419736,16.08081756,16.17941325,16.12859681,16.27461605,16.28112303
Pden_0478,17.59454977,17.73647914,17.58247865,17.49180801,17.6766536,17.7226033
Pden_0482,17.55273056,17.12799696,17.36529511,17.9830012,17.65250979,18.10622672
vapC,17.67063596,17.87776971,17.71672151,17.99869847,17.91262888,17.93385864
Pden_0484,17.72479683,17.6766408,17.6694862,17.67670816,17.79683853,17.77107285
Pden_0485,16.33904572,16.69786381,16.19685716,15.93598925,16.28692146,16.63394064
Pden_0486,18.68322549,18.68064472,18.77781072,18.66193772,18.78266061,18.78020813
Pden_0488,18.56592634,18.60098915,18.71379161,18.40287618,18.39612925,18.09707155
Pden_0489,19.01306414,18.71615603,18.48689456,19.13159941,18.99822863,19.3035382
Pden_0490,16.92968531,16.87685397,17.15915598,16.62378978,16.72980674,16.70049204
uppP,13.68908994,13.60592517,13.94735189,13.50705464,14.01118109,12.82441905
Pden_0492,21.8800546,21.93032409,21.95619952,21.85919284,22.04117645,21.96709032
Pden_0493,9.985099336,10.38420248,10.55038656,11.00461033,11.38998557,10.90865881
Pden_0496,15.04921127,15.14401615,15.12443204,14.92156981,15.10393333,15.15944228
ilvA,21.22385874,21.0717323,21.1721661,20.96699783,21.14665398,21.13886892
argG,23.00704965,22.87619951,23.03789575,22.69975133,22.94938355,22.83300858
Pden_0500,19.47344949,19.34754189,19.45691927,19.46750003,19.46348853,19.54476447
Pden_0501,20.10446607,20.10072115,20.13237179,20.21037675,20.30663087,20.23488107
Pden_0502,19.28477708,19.30416676,19.26499152,19.02406688,18.82340097,19.0498277
Pden_0505,23.41266826,23.42057469,23.43016405,22.94525588,22.73740942,22.94667001
Pden_0506,14.10819151,14.12665678,13.81089158,14.00494026,14.19099094,13.96306487
Pden_0507,18.65600711,18.60911541,18.79343449,18.6253976,18.72836388,18.68491606
Pden_0508,18.76939877,18.91793182,18.87977781,18.87285056,18.95348302,19.02396824
Pden_0510,20.45753924,20.43211505,20.33899801,20.65175464,20.53785545,20.68917009
Pden_0511,19.01451958,19.08051077,19.03493796,19.02950569,19.01014502,19.23032864
Pden_0512,15.53555702,15.33172016,15.40254816,15.0026495,14.95378641,15.04401935
Pden_0515,16.75312572,16.59372032,16.68474801,15.92684669,16.09844447,16.0265928
Pden_0516,17.95781522,17.95453133,17.82911452,17.83723324,17.49369151,17.76017901
Pden_0517,18.22961765,18.04888673,17.96402786,18.68253587,18.42672183,18.77688887
Pden_0518,25.23851587,25.28482388,25.19706937,25.35576529,25.37466064,25.4323983
Pden_0519,17.07217462,17.10426382,17.00653143,17.04633095,16.85256342,17.16383224
Pden_0520,18.79660327,18.68913008,18.86090789,18.64046858,18.61552783,18.41236173
Pden_0522,23.31625415,23.37675819,23.37486669,23.15329913,23.29407617,23.33068546
Pden_0523,16.40029157,16.49064479,16.35744771,16.09608479,16.49614321,15.64413857
Pden_0524,16.76033147,16.67600625,16.81291059,16.84831778,16.7389584,17.1170591
Pden_0528,22.29495801,22.28937023,22.19612768,22.41373904,22.25934333,22.60433726
Pden_0529,17.678199,17.67049718,17.64279665,17.80783403,17.81045284,18.00816034
Pden_0531,22.30242442,22.26110525,22.37049776,22.48742169,22.49209299,22.63633933
Pden_0532,20.0892539,20.1529837,20.11331275,20.21818581,20.15409832,20.30087341
truA,17.08440263,17.08570585,17.00775517,17.15965275,17.13707525,17.21302833
Pden_0535,15.62146226,15.52509973,15.6225128,15.52556098,15.61488063,15.51218321
Pden_0537,22.38393757,22.43176507,22.36945692,22.44893617,22.45320136,22.55908245
glyQ,18.75043257,18.68750614,18.66234614,18.31939318,18.58278538,18.70838818
Pden_0539,21.42975494,21.44059154,21.32005926,21.42150511,21.47563393,21.45969405
glyS,21.65488556,21.58742041,21.55792268,21.25066093,21.34806859,21.65035006
Pden_0541,13.77609495,13.66835486,13.87773926,13.94308694,13.83910304,13.82928009
Pden_0543,19.53200336,19.56717526,19.5241605,19.50841037,19.45047924,19.68565433
Pden_0544,19.05554578,19.14459544,19.10499253,19.19706388,19.29708752,19.23331244
glmM,20.44120491,20.26402253,20.3777292,20.32622905,20.55029217,20.18662954
Pden_0546,17.75490124,17.79714182,17.88937755,17.83004282,17.85673453,17.88020691
dksA,22.17510087,22.18080081,22.2123731,22.22370357,22.14794514,22.17258278
Pden_0548,18.13472122,17.99877936,18.13297026,17.75584714,18.0420578,17.5522332
Pden_0549,18.76279511,18.84619059,18.89536596,18.67781606,18.76463871,18.90524388
Pden_0551,21.36953975,21.26696438,21.40215324,21.24446768,21.15039337,21.4235292
Pden_0552,14.0491995,13.8426959,13.7663547,13.9184907,13.64790954,14.1389286
Pden_0553,19.65688159,19.6043643,19.69689241,19.81652604,19.4801751,19.86389736
Pden_0554,19.35950931,19.34590004,19.56932586,19.28421777,19.23883068,19.26440555
Pden_0555,20.18006413,20.07373008,20.13699262,20.11127084,19.97420533,19.93606513
sucD,24.89005639,24.90921092,24.91162621,24.79948665,24.88505496,24.98007335
sucC,25.54244109,25.50647029,25.52017905,25.46677854,25.50305952,25.63877692
Pden_0560,17.8704384,17.7880777,17.91432289,17.36142234,17.51405499,17.42379045
mdh,26.26717584,26.27388868,26.24362275,26.38491733,26.32805667,26.38771138
Pden_0563,22.36816696,22.3640011,22.2716109,22.32302929,22.35149453,22.43819054
Pden_0564,16.31249935,16.32405625,16.2839182,16.49661537,16.51737998,16.92953231
Pden_0565,17.59232376,17.63364996,17.62065186,17.94760348,17.81462218,18.0176483
Pden_0566,20.99596089,21.07365142,21.04911756,21.14312601,21.12313987,21.20861674
Pden_0569,22.64081716,22.64622987,22.61452748,22.32740463,22.45471432,22.43269616
Pden_0571,14.53288144,14.54208314,14.78581519,14.88212976,15.35240958,14.89478933
Pden_0572,20.45639228,20.32895805,20.50428884,20.4317146,20.3409877,20.25612452
Pden_0573,18.12214277,18.0660078,18.02077086,18.08782618,18.15927947,17.99302467
Pden_0574,17.34473738,17.18572487,16.93603331,18.56972927,17.81729053,18.86159297
gatC,21.54024848,21.16537473,21.16457408,21.13901823,21.15660424,21.67847789
gatA,22.79200162,22.84484584,22.82655307,22.73764673,22.81268892,22.91387756
Pden_0577,18.01211395,17.70417294,18.02246699,18.31547359,18.16588339,18.26409436
Pden_0578,16.01408043,16.01403818,16.16443582,16.18170051,15.73290372,15.8379141
rlmJ,18.46551799,18.60025481,18.55032989,18.52812479,18.52202402,18.29884234
Pden_0580,20.54169338,20.45899576,20.42692816,19.97256378,19.72126203,20.25297756
Pden_0581,21.6208222,21.57439255,21.55839251,21.53518259,21.65716015,21.39317988
rsmH,19.76420986,19.81630807,19.72683164,19.88256475,19.93449127,20.03981867
Pden_0584,15.22789332,15.17909928,15.12402584,15.20468082,14.78361223,15.00264826
Pden_0585,13.24977825,13.1908383,13.39483193,13.18840934,13.28737647,12.97257868
murE,22.85608168,22.81356797,22.82236455,22.89263883,22.88196363,22.91130152
murF,21.76285968,21.81242291,21.70478618,21.76614382,21.72497388,21.84556784
mraY,12.97954856,13.24937084,13.09925873,12.86810141,13.41963782,12.99362688
murD,20.56014145,20.5613964,20.64581034,20.54006815,20.66963901,20.58467532
Pden_0590,14.88359965,15.61677699,15.64215703,15.84944526,15.92289834,16.2484813
guaB,20.65459584,20.48895969,20.61582886,20.03975688,20.33661791,19.98153355
Pden_0594,19.30762084,19.30114233,19.22934793,19.4015992,19.22745816,19.45554877
Pden_0596,15.84929571,16.26884118,16.23143901,16.22289152,16.01161394,16.0723239
recA,20.73317706,20.69430343,20.90197332,20.5658424,20.88506788,20.19594559
alaS,23.63572749,23.4557603,23.62926651,23.32377657,23.5629417,23.45376988
Pden_0599,21.62576221,21.62242602,21.70907122,21.84138675,21.80637952,21.93378166
Pden_0600,14.6738697,14.38947447,14.72818417,14.89284952,14.68118002,14.69346128
Pden_0602,19.69608631,19.57162146,19.5635957,19.36416282,19.58334321,19.64083166
purA,24.01371683,23.94228428,23.98457254,24.02596517,23.99682407,23.99371083
Pden_0605,19.40401469,19.30236189,19.30084929,19.1699876,19.14654805,19.22634953
Pden_0608,19.93722404,19.7198642,19.57503335,19.35768102,19.15656102,19.31610715
Pden_0610,20.97181485,20.92886947,20.9849353,20.95594007,21.11431207,21.30337241
Pden_0611,21.28882396,21.24334723,21.37479064,21.25473836,21.39031924,20.93282349
Pden_0612,20.11734405,20.06816452,20.15145916,20.20115533,20.17016559,20.33140417
queA,20.40806961,20.48598121,20.44635047,20.36017631,20.43136002,20.2753805
Pden_0616,20.27463448,20.17756047,20.28614623,20.63815215,20.53916338,20.61491727
Pden_0617,20.91108613,21.01038413,20.97088647,20.99077957,20.91018969,21.02863642
glmU,21.26101072,21.2438175,21.30365013,20.94049331,21.33196865,20.78796433
glmS,20.83222306,20.77688416,21.03837986,20.61493522,21.08546668,20.03182301
Pden_0620,17.61997331,17.54155886,17.6009214,17.41967074,17.49731753,17.59353867
msrA,21.72216252,21.76443433,21.86359876,22.07093203,21.97616253,22.01203281
prmA,21.5775635,21.52465623,21.55206308,21.6245468,21.54273153,21.61253516
Pden_0623,16.8016223,16.52435769,16.45656061,15.95538132,16.17848985,16.33000617
Pden_0624,17.28111965,17.39530665,17.41475126,17.44419667,17.44945317,17.46616743
Pden_0626,18.97394994,18.89428245,18.95339032,18.93638816,18.93964732,18.94748299
Pden_0627,17.27861257,17.33222614,17.45163866,17.26716383,17.4478334,17.39923463
Pden_0628,18.75407779,18.81655931,18.89559735,18.98896019,18.85933353,19.0007983
Pden_0630,25.24544957,25.21930399,25.18689232,25.20790703,25.22491463,25.29766851
Pden_0631,23.26449443,23.27689914,23.22778758,23.30715898,23.27995695,23.36688922
smpB,15.50010739,15.38593599,15.4524371,15.5731598,15.42965078,15.36436831
Pden_0633,16.56643721,16.54078547,16.57444276,16.35247177,16.50604203,16.50331966
Pden_0635,16.25450248,16.37958296,16.44236703,16.56067083,16.64032959,16.60980532
Pden_0636,15.98921288,16.0899068,15.86264675,16.08402594,16.03378266,16.28472298
Pden_0639,19.55474315,19.52687836,19.55036711,19.70596613,19.70652114,19.80663298
Pden_0640,12.48418518,12.26049945,11.9885555,12.85173005,12.56536968,12.00612902
fmt,20.3686787,20.46747677,20.44341418,20.52189455,20.55217791,20.61552998
Pden_0643,17.09839182,16.98837126,16.91544657,17.21427373,17.17636316,17.15228035
Pden_0644,17.19379431,17.14622341,17.22524241,17.14319734,17.26641419,16.91208183
def,19.87834775,19.84152364,19.81099136,19.80828698,19.77783765,19.89893163
def,19.85697889,19.84889961,19.73359645,19.77543508,19.68620725,19.84947177
def,21.55076568,21.58626198,21.54338705,21.46324542,21.49604391,21.50944206
Pden_0648,22.04141552,22.12276286,21.9628792,22.076079,22.04373379,22.11964701
Pden_0649,14.79108392,14.51758767,14.61954683,14.66327144,14.69004504,14.16300257
Pden_0650,16.00966665,16.09496186,16.14334524,16.04586975,16.18785984,16.07203822
Pden_0651,21.30505636,21.34108587,21.41368183,21.47562059,21.54255369,21.40214476
Pden_0652,20.23438303,20.1536095,20.19990907,20.320037,20.25352555,20.29234057
Pden_0653,20.25409917,20.27418712,20.16578208,20.20878713,20.29949184,20.3671354
Pden_0654,14.83212927,14.5570556,14.40188822,14.16422177,13.98058823,14.01719104
